tweet,clean_tweet,label
""" cant you see these hoes wont change """,cant see hoe wont chang,1
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch dont even suck dick kermit video bout fuck ig,1
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got ya bitch tip toe hardwood floor,1
""" her pussy lips like Heaven doors "" &#128524;",pussi lip like heaven door,1
""" hoe what its hitting for """,hoe hit,1
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",met pussi ocean dr gave pussi pill,1
""" i need a trippy bitch who fuck on Hennessy """,need trippi bitch fuck hennessi,1
""" i spend my money how i want bitch its my business """,spend money want bitch busi,1
""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussi wetter,1
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",id say im back old old bitch would get excit,1
""" if you aint bout that Murder Game pussy nigga shut up """,aint bout murder game pussi nigga shut,1
""" if you're toes ain't done you pussy stinks """,toe aint done pussi stink,1
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,im done bitter bitch wrap angri bird app,1
""" is that ya bitch """,ya bitch,1
""" it aint nothing to cut a bitch off """,aint noth cut bitch,1
""" jus meet son now he ya mane ass bitches "" #Shots",ju meet son ya mane ass bitch shot,1
""" lames crying over hoes thats tears of a clown """,lame cri hoe tear clown,1
""" like Snoop said in 94 we dont love these hoes """,like snoop said 94 dont love hoe,1
""" momma said no pussy cats inside my doghouse """,momma said pussi cat insid doghous,0
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hate hoe favorit 2mw sevenon,1
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick,1
""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe futur voic,1
""" post a picture of that pussy get 200 likes """,post pictur pussi get 200 like,1
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussi power drug happyhumpday,1
""" quick piece of pussy call it a drive by """,quick piec pussi call drive,1
""" running round here like some brand new pussy thats bout to get fucked """,run round like brand new pussi bout get fuck,1
""" these bitches even worst they'll send them guys for you """,bitch even worst theyll send guy,1
""" these hoes like niggas that spend money not talk bout it """,hoe like nigga spend money talk bout,1
""" we dont trust these niggas all these bitches """,dont trust nigga bitch,1
""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall nigga b cuf hoe caus yall aint never bitch,1
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodg bullet da bitch cut pregnant bound thank god,1
""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitch love music,1
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",teanna trump probabl cleaner twitter hoe,1
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",gay nigga couldnt wait act like bitch tonight,1
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",ima steal hi cat n replac pitbul bitch,1
"""&amp; he's gone always be a hoe""",gone alway hoe,1
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch took tic tac like thi movi,1
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wan na get money fuck model bitch - russel simmon,1
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",probabl wouldnt mind school much didnt deal bitch ass teacher retweet,1
"""@A7XDemery: I'm a fucking fag they said""",im fuck fag said,1
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",femal think date pussi cute doe thi stuff make pussi,1
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",-simplyaddictedtoguy woof woof hot scalli lad,0
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",ya ever ask bitch bitch - kany voic ye,1
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",u gone bring ur side bitch game know ya gf friend swear,1
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",woof woof hot sole,0
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",lemmi eat oreo dish one oreo lol,0
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",bitch fuck u mayb youll get better,1
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",fuck red malon man bitch ass niggah could pleas use complet sentenc,1
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",whi eggplant emoji doey say look like scream lmao,0
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",hennessey venom gt one sexi bitch,1
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",seh pussi wetter shower curtainahmesehwetnesslmao,1
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",eaglesn everi eagl need see pic post becaus bitch said racist shit,1
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",yo fuck skateboard yall wood push faggot man ball life,1
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",babi monkey bathtim awwww thi soooo ador,0
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",aint shit damn skippi lol,1
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",u ever kill ant sidewalk think damn nigga wa hi way get pussyno bs must b 30 % chanc,1
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",0 ring 0 mvp 0 bitch lol,1
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",ppl talk bad ghetto/hood kid grow nigga funnnnnnn,1
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",fact tattoostattoo pussi tattoo nippl,1
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",bitch want act like nigga bad shit aint cuteeee nigga act like bitch,1
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",get worship bitch woof woof,1
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",wow im lost buttcheek pierc yeah hoe,1
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",ok si shed rather broke bitch * shrugs * shell tell work,1
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",queer gaywad,1
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",faggot read tweet dat k wasnt even funni lol,1
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",thi bitch wa ungrat fr lulwhor,1
"""@CASHandBOOBIES: I been kidnapped yo bitch""",kidnap yo bitch,1
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",alsarabsss beaner smh tell mexican,1
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",happi birthday nig thank yo,1
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",ur teacher tell u u homework thi bitch need go,1
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",nigga wa eat hoe lol hell yea lol john paul nigga said john paul,1
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",would yall lil ugli bald head bitch stop make make-up weav,1
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",leaf better win thi damn game go riot shit earlychristma better start loot nig,1
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",go back school suck dick hoe attend,1
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",way fuck yo bitch 9 year old,1
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",come never bring food dont car retard,1
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",richnow doesnt show hella tinder hoe im hi friend anymor chill brought like like 8 propl,1
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",bout cowboy shutup pussi,1
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",lmaooooooooooo thi nigga bitch want like depress shitfoh,1
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",girl know wa spit g shit wa go lbvsbitch plz,1
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick,1
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",harlem shake excus go full retard 30 second,1
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",amen miley dont need act like hoe bc emot damag foh,1
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",one loyal femal wayyyyy better hoe idc,1
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",pussi lick pussi meow meow stopwhitepeople2014,1
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",check 12th man cowboysn even faggot ny fan stand,1
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",happen vixen ent bitch got ran threw side like foothil bitch,1
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",im bitch okay nude pat wow,1
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",fuck gay blacklist hoe hold tehgodclan anyway,1
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",fuck wrong bitch nobodi know,1
"""@Dietrich1892: Yall shut up:p"" make me bitch",yall shut upp make bitch,1
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",hate im pregnant type bitch,1
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",got bitch dm dont ever readem top 3,1
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",basebal season win yanke thi love start,0
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",littl stupid bitch dont fuck yoooooouuuu,1
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",realli ask dead ass seriou tho could say wa bitch wheet lol,1
"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",im earli bird im night owl im wise worm,0
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",overdos heavi drug doesnt sound bad tonight pussi shit everi day,0
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",pit bull photograph love fairi tale creatur * * fairi tale creatur,0
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",aw fag dont tweet aw lol,1
"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",long laker trash could careless real cc hahaha,0
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",didnt say anyth tho kiss faggot,1
"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",thi play soccer cheat girl wear khaki colour cargo haircut yup,0
"""@G27Status: I could go for a fat ass bitch on my lap"" same",could go fat ass bitch lap,1
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",17 miss call da yo po bitch twitter finna screamn freemoneymel,1
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",ya side bitch got ta know rule thi shitanybodi ask cousin jersey thinkin bout move lmmfao,1
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",3 | amo lo pie fuck yeah,1
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",hoe think meat wont slap ass ainna bruh,1
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",yall bitch wit edg talk,1
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",yall still go trick treat thi year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit,1
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",wan na sex mom fuck right pussi came damn got hack like fuck,1
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",kiss u eye open watch bitchlmfao,1
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",woulda coulda shoulda ass hoe,1
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",happi bday bitch ass nigga bitch roll,1
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",use send bitch,1
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",ugli bitch like im wcw duh bitch aint nobodi els,1
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",nigga know hacki sack hoe nah throw look pass lmao,1
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",glad im get outta atlanta noth bunch nigga outta jail dumb bitch mad kid fuckin em,1
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",thi isnt ghettoit smart im thi idc,0
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",would wife hoe onli cuz wouldnt care cheat whi forc relationship first place,1
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",singl isnt excus hoe,1
"""@HoskinsTy96: White boy power bitch"" black power bitch",white boy power bitch black power bitch,1
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",let get drunk get blow spit shit spark blunt fuck hoe bro white dude chill,1
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",bitch u around world back,1
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",dont get dick suck yo parti bad bitch im fr gone set * bi *,1
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",oomf soooo cute probabl ha hoe lot,1
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",everi cartoon alway save hoe lmao lmao damn captain saveaho,1
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",want get nose bad boi scalli chav sockfetish stink hot sox leg,0
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",wish wa bitch like brother keezi ooooow bet,1
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",dress cat halloween basic pussi,1
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",pornhub get game stream featur dumb bitch gtfo get katie3,1
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",stop scare choke dure sex u bitch ass nigga shell like say guy hit women bed foh,1
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",ha well iguess make hoe loyal bro theyll never loyal hoe nig,1
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",oh man 5 molli ho fuck ya seed fix,1
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",man refer everi girl bitch,1
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",lmfao thi cat start beat shit nigga final got pussi nigga,1
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",peel peel bring back rewind back im move shaq line ooooow tf said trash,0
"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,1
"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",naw old tape new cover upcom mixtap kingofthehil yeah im wait hoe mayn,1
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",ol dirti foot ass bitch thi wa funni,1
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",get yellow flag amaz hell yeah niggi,1
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",dont got time bitch actin iffi,1
"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",ucfpinkparti come stay aliv knight nation thi still earli bird special comeatmeut,0
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",hoe aint loyal ; aint smfh wonder whi nobodi decent want,1
"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",bruh stud keep think im soft hell ask ya girl mani time scream wa bitch oh okay stfu bye hoe,1
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",dri pussi bitch alway blame condom,1
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",shut yo bitch ass,1
"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",gucci mane jail drop mixtap everi month hoe cant even text back,1
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",love hoe money wat wrong nigga,1
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,1
"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",easi cum easi hoe fact,1
"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",charli sheen real major fuck respect charli sheen,1
"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",wish bae got hoe tho,1
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",fuck twerk bitch cook,1
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",bitch wtf,1
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",shut zoe fight pussi zoe im good man good maam move along,1
"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",lmao fuck snake bitch @ em,1
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",big booti hoe everywher sheesh damn,1
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",stay tune updat report 1b 8-10 week bum,0
"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",play soccer cheat girl wear khaki colour cargo haircut ye lmfao,0
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",oregon choke everi year get field trash ass program rft,1
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",def cowboy lol terrel owen wa best eagl cowboy ever dude cri like bitch tv romo,1
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",lmfaoooo hate black peopl thi whi black peopl nigger,1
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",could u thi bitch potent,1
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",piss lad past would lick hi dirti sole slept,0
"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",love frat boy w/ soft long sole,0
"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",sexi lad hot sole arch,0
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",nah fam got ta cheat hoe depend femal feel,1
"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",got hick lol,0
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",thi new twitter confus shit go back south america bitch,1
"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",toto mean ass vaginai think pussi caus toto santi like nasti pussi,1
"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",actual doe choos ugli bitch ass must fat,1
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",bitch couldnt kill vibe ya tri di whi love miley *,1
"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",im tire bitch say look mean nigga big af wear tight shirt grim everybodi,1
"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",10 bird grandkid may never see thank climat chang climat,0
"""@MvckFadden: ""Stay beautiful you bitch""""",stay beauti bitch,1
"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",wutkinda r purpl ceeeleeeman thi gurl wa ju playin stupid hoe track still shit sum gurl,1
"""@NastyCopper: Money getting taller and bitches getting blurry""",money get taller bitch get blurri,1
"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",aint never seen bitch obsess nigga im obsess mine,1
"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",kobe stay talk trash let forget meant thi one smh,1
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",least im nigger lmfao,1
"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",peopl alway ask im mix bad asian bitch lol,1
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",ariza snake coward least isnt crippl like hero roach lmaoo,1
"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",foster home imaginari trash whoa chill show wa everyth tf,0
"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",lowkey tire tire quiet go sleep hoe,1
"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",stop bring weird nigger mention,1
